Candidate ID,Interview Score,Reference Check,Communication Skill Level,Cultural Fit,Preferred Work Environment,Date of Interview,Date of Decision,Hired
1899,10,Negative,Good,Neutral,Flexible,3/2/2023,3/17/2023,No
1900,3,Positive,Average,Strong Mismatch,In-Office,3/16/2023,4/7/2023,No
1901,3,Negative,Poor,Slight Mismatch,Flexible,3/8/2023,3/27/2023,No
1902,10,Positive,Poor,Neutral,In-Office,6/22/2023,7/8/2023,No
1903,10,Positive,Excellent,Strong Fit,Field Work,5/11/2023,5/31/2023,No
1904,9,Positive,Average,Neutral,Field Work,5/18/2023,6/6/2023,No
1905,10,Negative,Poor,Neutral,In-Office,1/25/2023,2/16/2023,Yes
1906,5,Neutral,Poor,Neutral,Flexible,5/4/2023,5/20/2023,No
1907,3,Neutral,Below Average,Strong Fit,In-Office,2/9/2023,2/26/2023,No
1908,9,Positive,Below Average,Neutral,Flexible,2/2/2023,2/22/2023,No
1909,1,Neutral,Good,Strong Fit,Hybrid,7/27/2023,8/15/2023,No
1910,8,Neutral,Average,Fit,Fully Remote,2/2/2023,2/22/2023,No
1911,10,Positive,Excellent,Slight Mismatch,Fully Remote,6/1/2023,6/22/2023,Yes
1912,5,Positive,Average,Strong Mismatch,Flexible,8/2/2023,8/19/2023,No
1913,10,Positive,Below Average,Neutral,In-Office,7/6/2023,7/24/2023,No
1914,1,Neutral,Good,Fit,Hybrid,8/17/2023,9/3/2023,No
1915,1,Negative,Excellent,Fit,Hybrid,4/26/2023,5/17/2023,No
1916,3,Negative,Below Average,Fit,Fully Remote,3/15/2023,4/2/2023,No
1917,3,Neutral,Below Average,Fit,Hybrid,3/8/2023,3/23/2023,No
1918,8,Positive,Good,Fit,Flexible,6/7/2023,6/29/2023,No
1919,1,Neutral,Poor,Strong Mismatch,Hybrid,1/19/2023,2/6/2023,No
1920,10,Neutral,Excellent,Neutral,In-Office,8/23/2023,9/7/2023,No
1921,5,Negative,Below Average,Slight Mismatch,Field Work,5/4/2023,5/23/2023,No
1922,9,Negative,Good,Strong Fit,Flexible,8/23/2023,9/7/2023,No
1923,3,Neutral,Good,Neutral,Hybrid,1/12/2023,1/31/2023,No
1924,2,Positive,Excellent,Fit,Fully Remote,5/11/2023,5/30/2023,No
1925,1,Neutral,Below Average,Neutral,Fully Remote,5/17/2023,6/5/2023,No
1926,6,Neutral,Excellent,Strong Fit,Fully Remote,8/17/2023,9/3/2023,No
1927,2,Neutral,Good,Slight Mismatch,Hybrid,2/15/2023,3/8/2023,No
1928,5,Positive,Excellent,Fit,Field Work,8/9/2023,8/29/2023,No
1929,9,Neutral,Average,Strong Fit,Hybrid,3/23/2023,4/12/2023,Yes
1930,4,Negative,Below Average,Strong Fit,Fully Remote,8/31/2023,9/16/2023,No
1931,4,Positive,Below Average,Slight Mismatch,Flexible,8/17/2023,9/4/2023,No
1932,6,Negative,Good,Strong Mismatch,In-Office,4/13/2023,5/3/2023,No
1933,5,Negative,Below Average,Slight Mismatch,Field Work,2/9/2023,2/28/2023,No
1934,4,Neutral,Below Average,Neutral,Fully Remote,5/24/2023,6/13/2023,No
1935,4,Neutral,Good,Strong Fit,Hybrid,7/26/2023,8/10/2023,No
1936,5,Negative,Excellent,Strong Fit,Field Work,6/1/2023,6/21/2023,No
1937,5,Negative,Average,Fit,Field Work,1/5/2023,1/23/2023,No
1938,3,Negative,Below Average,Strong Mismatch,In-Office,7/27/2023,8/11/2023,No
1939,5,Positive,Average,Strong Fit,Field Work,5/31/2023,6/22/2023,No
1940,5,Negative,Excellent,Neutral,Fully Remote,5/24/2023,6/9/2023,No
1941,2,Neutral,Excellent,Slight Mismatch,Flexible,7/13/2023,7/30/2023,No
1942,4,Neutral,Excellent,Fit,Fully Remote,8/16/2023,9/6/2023,No
1943,8,Neutral,Good,Fit,In-Office,4/5/2023,4/27/2023,Yes
1944,9,Negative,Good,Slight Mismatch,Flexible,4/27/2023,5/18/2023,No
1945,9,Positive,Poor,Fit,Fully Remote,6/22/2023,7/13/2023,No
1946,3,Positive,Good,Neutral,Hybrid,5/17/2023,6/1/2023,No
1947,6,Neutral,Below Average,Slight Mismatch,Fully Remote,4/6/2023,4/28/2023,No
1948,6,Negative,Below Average,Slight Mismatch,Fully Remote,8/30/2023,9/16/2023,No
1949,2,Positive,Below Average,Fit,In-Office,6/14/2023,7/4/2023,No
1950,5,Positive,Excellent,Strong Mismatch,Field Work,4/12/2023,5/2/2023,No
1951,5,Positive,Excellent,Strong Fit,Hybrid,7/6/2023,7/23/2023,No
1952,10,Positive,Poor,Neutral,Hybrid,3/15/2023,4/3/2023,No
1953,4,Negative,Good,Slight Mismatch,Flexible,8/30/2023,9/17/2023,No
1954,3,Positive,Good,Strong Mismatch,Hybrid,2/9/2023,2/24/2023,No
1955,3,Negative,Poor,Slight Mismatch,Field Work,5/4/2023,5/20/2023,No
1956,1,Neutral,Below Average,Slight Mismatch,Field Work,8/24/2023,9/9/2023,No
1957,2,Neutral,Average,Strong Fit,In-Office,3/29/2023,4/20/2023,No
1958,3,Positive,Poor,Slight Mismatch,In-Office,1/4/2023,1/22/2023,No
1959,6,Positive,Excellent,Slight Mismatch,Hybrid,3/30/2023,4/16/2023,No
1960,1,Negative,Good,Fit,Field Work,6/29/2023,7/17/2023,No
1961,5,Neutral,Below Average,Strong Fit,Flexible,8/10/2023,9/1/2023,No
1962,4,Positive,Below Average,Slight Mismatch,Field Work,2/16/2023,3/8/2023,No
1963,10,Positive,Below Average,Strong Fit,Hybrid,6/15/2023,7/3/2023,No
1964,4,Positive,Excellent,Neutral,Hybrid,2/16/2023,3/7/2023,No
1965,6,Positive,Good,Fit,In-Office,8/2/2023,8/24/2023,No
1966,3,Neutral,Average,Strong Mismatch,Flexible,1/26/2023,2/12/2023,No
1967,7,Positive,Good,Fit,In-Office,3/2/2023,3/22/2023,No
1968,9,Negative,Excellent,Slight Mismatch,Fully Remote,2/22/2023,3/11/2023,No
1969,10,Positive,Average,Strong Mismatch,Field Work,7/12/2023,8/1/2023,No
1970,9,Negative,Average,Neutral,Flexible,4/27/2023,5/12/2023,No
1971,8,Positive,Excellent,Strong Mismatch,Fully Remote,3/29/2023,4/18/2023,No
1972,2,Negative,Good,Strong Fit,Fully Remote,7/20/2023,8/7/2023,No
1973,4,Neutral,Average,Strong Fit,Fully Remote,1/4/2023,1/24/2023,No
1974,8,Positive,Excellent,Strong Mismatch,Fully Remote,7/6/2023,7/25/2023,No
1975,5,Negative,Excellent,Strong Mismatch,Fully Remote,5/18/2023,6/6/2023,No
1976,8,Neutral,Excellent,Strong Mismatch,Field Work,3/2/2023,3/22/2023,No
1977,9,Negative,Excellent,Strong Mismatch,Fully Remote,5/17/2023,6/1/2023,No
1978,7,Positive,Average,Strong Mismatch,Fully Remote,6/7/2023,6/22/2023,No
1979,6,Negative,Below Average,Fit,Flexible,3/23/2023,4/9/2023,No
1980,2,Neutral,Below Average,Strong Fit,Field Work,6/1/2023,6/22/2023,No
1981,8,Neutral,Poor,Strong Fit,Flexible,5/31/2023,6/17/2023,Yes
1982,5,Neutral,Poor,Neutral,In-Office,8/30/2023,9/19/2023,No
1983,10,Neutral,Below Average,Strong Fit,Field Work,1/12/2023,1/27/2023,Yes
1984,8,Neutral,Poor,Strong Mismatch,Fully Remote,3/30/2023,4/14/2023,No
1985,8,Positive,Below Average,Neutral,In-Office,7/19/2023,8/6/2023,No
1986,8,Neutral,Average,Fit,Fully Remote,4/13/2023,4/28/2023,No
1987,6,Positive,Good,Fit,Flexible,5/31/2023,6/15/2023,No
1988,4,Negative,Good,Fit,Fully Remote,7/13/2023,8/2/2023,No
1989,3,Neutral,Excellent,Strong Fit,In-Office,6/29/2023,7/18/2023,No
1990,4,Positive,Below Average,Slight Mismatch,Hybrid,1/18/2023,2/7/2023,No
1991,8,Negative,Average,Strong Fit,In-Office,1/4/2023,1/26/2023,No
1992,8,Neutral,Average,Strong Fit,Flexible,3/2/2023,3/17/2023,No
1993,8,Negative,Poor,Strong Mismatch,In-Office,1/19/2023,2/10/2023,No
1994,4,Positive,Average,Strong Fit,In-Office,8/10/2023,8/29/2023,No
1995,1,Positive,Good,Strong Fit,Fully Remote,6/22/2023,7/12/2023,No
1996,8,Positive,Average,Strong Fit,Flexible,5/25/2023,6/15/2023,No
1997,10,Neutral,Excellent,Strong Fit,Fully Remote,4/26/2023,5/12/2023,Yes
1998,3,Positive,Poor,Fit,Fully Remote,4/12/2023,5/2/2023,No
1999,4,Negative,Below Average,Strong Mismatch,Fully Remote,8/3/2023,8/21/2023,No
2000,10,Neutral,Poor,Strong Mismatch,Flexible,1/19/2023,2/3/2023,No
2001,6,Neutral,Average,Neutral,In-Office,7/26/2023,8/13/2023,No
2002,1,Negative,Average,Neutral,Flexible,3/15/2023,4/6/2023,No
2003,4,Positive,Below Average,Slight Mismatch,Field Work,3/29/2023,4/16/2023,No
2004,6,Positive,Below Average,Neutral,Flexible,2/22/2023,3/9/2023,No
2005,2,Positive,Average,Strong Mismatch,Field Work,3/16/2023,3/31/2023,No
2006,10,Neutral,Good,Strong Fit,Flexible,5/10/2023,5/31/2023,No
2007,4,Neutral,Average,Strong Fit,In-Office,7/27/2023,8/15/2023,Yes
2008,5,Negative,Average,Strong Mismatch,Hybrid,6/22/2023,7/11/2023,No
2009,3,Positive,Good,Fit,Field Work,1/26/2023,2/17/2023,No
2010,5,Neutral,Poor,Strong Mismatch,In-Office,5/4/2023,5/24/2023,No
2011,6,Neutral,Good,Neutral,Field Work,5/24/2023,6/12/2023,No
2012,3,Positive,Excellent,Strong Mismatch,Fully Remote,7/13/2023,8/1/2023,No
2013,4,Negative,Excellent,Slight Mismatch,Hybrid,4/19/2023,5/11/2023,No
2014,2,Positive,Poor,Neutral,Fully Remote,2/2/2023,2/18/2023,No
2015,4,Negative,Good,Fit,Field Work,4/26/2023,5/11/2023,No
2016,2,Positive,Average,Strong Mismatch,Fully Remote,2/8/2023,3/1/2023,No
2017,5,Neutral,Average,Strong Fit,In-Office,8/17/2023,9/6/2023,No
2018,4,Neutral,Average,Strong Mismatch,In-Office,1/26/2023,2/12/2023,No
2019,5,Negative,Below Average,Neutral,Flexible,3/22/2023,4/6/2023,No
2020,10,Neutral,Below Average,Neutral,Flexible,5/25/2023,6/10/2023,Yes
2021,2,Positive,Below Average,Slight Mismatch,Fully Remote,4/12/2023,5/3/2023,No
2022,2,Positive,Good,Strong Fit,Hybrid,6/29/2023,7/16/2023,No
2023,10,Neutral,Good,Neutral,In-Office,6/28/2023,7/17/2023,Yes
2024,4,Negative,Poor,Strong Mismatch,Hybrid,1/12/2023,1/27/2023,No
2025,10,Negative,Good,Strong Fit,Hybrid,6/7/2023,6/25/2023,No
2026,7,Neutral,Excellent,Neutral,Fully Remote,2/22/2023,3/11/2023,No
2027,1,Positive,Below Average,Strong Mismatch,Fully Remote,5/3/2023,5/19/2023,No
2028,8,Positive,Below Average,Fit,Fully Remote,6/22/2023,7/8/2023,Yes
2029,10,Negative,Average,Fit,In-Office,4/20/2023,5/5/2023,Yes
2030,9,Positive,Below Average,Strong Mismatch,Fully Remote,8/24/2023,9/9/2023,No
2031,7,Positive,Average,Neutral,In-Office,3/1/2023,3/16/2023,No
2032,7,Positive,Average,Strong Mismatch,Field Work,8/9/2023,8/26/2023,No
2033,1,Neutral,Excellent,Fit,Field Work,2/23/2023,3/12/2023,No
2034,8,Positive,Average,Slight Mismatch,Hybrid,4/19/2023,5/11/2023,No
2035,9,Neutral,Good,Neutral,In-Office,8/31/2023,9/17/2023,Yes
2036,7,Neutral,Excellent,Strong Fit,In-Office,8/30/2023,9/14/2023,No
2037,4,Positive,Good,Strong Mismatch,Field Work,4/27/2023,5/17/2023,No
2038,1,Neutral,Poor,Neutral,In-Office,3/16/2023,4/4/2023,No
2039,5,Positive,Poor,Neutral,Hybrid,2/8/2023,2/27/2023,No
2040,5,Positive,Excellent,Strong Fit,Flexible,1/5/2023,1/27/2023,No
2041,3,Positive,Average,Neutral,Field Work,4/12/2023,5/2/2023,No
2042,7,Positive,Average,Strong Mismatch,In-Office,1/11/2023,2/1/2023,No
2043,6,Neutral,Poor,Slight Mismatch,Hybrid,8/30/2023,9/18/2023,No
2044,5,Neutral,Good,Fit,Hybrid,1/12/2023,2/2/2023,No
2045,10,Negative,Average,Strong Fit,Fully Remote,8/3/2023,8/19/2023,No
2046,4,Neutral,Good,Slight Mismatch,Hybrid,3/8/2023,3/29/2023,No
2047,8,Neutral,Excellent,Fit,Fully Remote,8/30/2023,9/15/2023,No
2048,8,Neutral,Poor,Fit,Field Work,3/2/2023,3/22/2023,No
2049,3,Negative,Below Average,Fit,Flexible,2/16/2023,3/4/2023,No
2050,2,Negative,Good,Strong Mismatch,Hybrid,7/13/2023,8/3/2023,No
2051,4,Negative,Good,Strong Mismatch,Field Work,2/8/2023,2/27/2023,No
2052,9,Neutral,Good,Strong Mismatch,In-Office,8/2/2023,8/23/2023,Yes
2053,6,Positive,Good,Fit,Hybrid,5/3/2023,5/24/2023,No
2054,8,Positive,Excellent,Strong Fit,Field Work,5/31/2023,6/19/2023,No
2055,6,Neutral,Excellent,Fit,Fully Remote,6/29/2023,7/20/2023,No
2056,6,Neutral,Poor,Fit,Hybrid,5/11/2023,5/26/2023,No
2057,4,Neutral,Excellent,Neutral,Hybrid,8/16/2023,9/7/2023,No
2058,9,Neutral,Excellent,Neutral,Flexible,8/31/2023,9/20/2023,No
2059,10,Negative,Good,Slight Mismatch,Fully Remote,3/30/2023,4/16/2023,No
2060,10,Positive,Below Average,Fit,Fully Remote,1/12/2023,1/30/2023,No
2061,7,Neutral,Good,Fit,Flexible,5/31/2023,6/17/2023,No
2062,8,Neutral,Excellent,Slight Mismatch,Hybrid,6/8/2023,6/25/2023,Yes
2063,7,Neutral,Poor,Neutral,Hybrid,4/13/2023,5/2/2023,No
2064,7,Negative,Good,Strong Fit,Field Work,8/31/2023,9/22/2023,No
2065,7,Neutral,Below Average,Slight Mismatch,In-Office,8/24/2023,9/14/2023,No
2066,7,Neutral,Below Average,Fit,Field Work,2/9/2023,2/27/2023,No
2067,1,Neutral,Good,Neutral,Hybrid,7/5/2023,7/20/2023,No
2068,4,Positive,Good,Fit,Flexible,4/12/2023,5/1/2023,No
2069,3,Negative,Average,Neutral,Fully Remote,5/25/2023,6/9/2023,No
2070,6,Positive,Good,Strong Mismatch,In-Office,6/29/2023,7/17/2023,No
2071,7,Neutral,Poor,Fit,Flexible,1/25/2023,2/15/2023,No
2072,7,Neutral,Excellent,Slight Mismatch,Fully Remote,5/3/2023,5/22/2023,No
2073,5,Negative,Average,Slight Mismatch,Fully Remote,1/19/2023,2/6/2023,No
2074,8,Negative,Poor,Neutral,In-Office,5/24/2023,6/8/2023,No
2075,1,Positive,Excellent,Neutral,In-Office,4/19/2023,5/9/2023,No
2076,6,Negative,Excellent,Strong Fit,Field Work,1/5/2023,1/20/2023,No
2077,9,Negative,Poor,Strong Mismatch,Flexible,6/7/2023,6/29/2023,No
2078,3,Negative,Below Average,Strong Fit,Hybrid,4/13/2023,5/4/2023,No
2079,6,Negative,Good,Fit,Hybrid,1/4/2023,1/23/2023,No
2080,4,Negative,Poor,Fit,Hybrid,1/26/2023,2/14/2023,No
2081,5,Positive,Poor,Neutral,Field Work,8/3/2023,8/20/2023,No
2082,7,Neutral,Good,Fit,Flexible,5/31/2023,6/18/2023,No
2083,2,Neutral,Average,Fit,Fully Remote,6/7/2023,6/22/2023,No
2084,8,Neutral,Average,Neutral,Field Work,6/7/2023,6/22/2023,Yes
2085,2,Positive,Good,Slight Mismatch,Flexible,8/16/2023,9/4/2023,No
2086,10,Negative,Average,Fit,Fully Remote,2/1/2023,2/21/2023,No
2087,7,Neutral,Good,Strong Mismatch,Fully Remote,4/19/2023,5/4/2023,No
2088,2,Neutral,Good,Neutral,Hybrid,1/19/2023,2/9/2023,No
2089,7,Neutral,Average,Strong Fit,Hybrid,8/31/2023,9/20/2023,No
2090,1,Neutral,Poor,Slight Mismatch,In-Office,7/26/2023,8/16/2023,No
2091,3,Negative,Excellent,Strong Mismatch,Fully Remote,1/12/2023,1/28/2023,No
2092,10,Negative,Poor,Slight Mismatch,Hybrid,2/8/2023,2/25/2023,No
2093,4,Positive,Average,Strong Fit,Field Work,2/9/2023,3/3/2023,No
2094,10,Neutral,Average,Neutral,Flexible,2/23/2023,3/10/2023,No
2095,9,Negative,Average,Neutral,Field Work,3/15/2023,4/3/2023,No
2096,5,Neutral,Average,Fit,Fully Remote,4/19/2023,5/5/2023,No
2097,1,Positive,Below Average,Fit,Field Work,3/2/2023,3/20/2023,No
2098,1,Negative,Average,Fit,Fully Remote,4/27/2023,5/15/2023,No
2099,3,Negative,Average,Slight Mismatch,In-Office,3/2/2023,3/22/2023,No
2100,4,Positive,Average,Slight Mismatch,In-Office,4/12/2023,5/3/2023,No
2101,2,Negative,Below Average,Neutral,Field Work,5/10/2023,6/1/2023,No
2102,8,Negative,Average,Fit,Flexible,8/9/2023,8/24/2023,No
2103,9,Negative,Average,Slight Mismatch,Hybrid,5/24/2023,6/15/2023,No
2104,1,Positive,Average,Fit,Field Work,4/27/2023,5/17/2023,No
2105,7,Negative,Good,Strong Fit,Field Work,8/9/2023,8/26/2023,No
2106,5,Neutral,Below Average,Neutral,Hybrid,1/12/2023,2/1/2023,No
2107,8,Negative,Average,Strong Mismatch,Hybrid,1/4/2023,1/23/2023,No
2108,10,Neutral,Excellent,Slight Mismatch,Field Work,4/20/2023,5/8/2023,No
2109,2,Negative,Average,Strong Mismatch,Fully Remote,2/9/2023,2/24/2023,No
2110,5,Neutral,Poor,Slight Mismatch,Field Work,2/9/2023,3/2/2023,No
2111,9,Neutral,Poor,Slight Mismatch,Fully Remote,2/8/2023,3/2/2023,Yes
2112,2,Negative,Good,Slight Mismatch,Fully Remote,2/22/2023,3/13/2023,No
2113,2,Neutral,Poor,Fit,Hybrid,4/6/2023,4/21/2023,No
2114,7,Positive,Excellent,Neutral,Flexible,8/3/2023,8/23/2023,No
2115,7,Positive,Good,Strong Mismatch,Hybrid,7/26/2023,8/13/2023,No
2116,9,Positive,Excellent,Slight Mismatch,Hybrid,3/22/2023,4/12/2023,Yes
2117,2,Negative,Average,Slight Mismatch,Flexible,8/30/2023,9/18/2023,No
2118,8,Negative,Good,Strong Fit,Flexible,4/5/2023,4/27/2023,No
2119,6,Positive,Poor,Slight Mismatch,Field Work,7/12/2023,7/31/2023,No
2120,7,Positive,Excellent,Slight Mismatch,Hybrid,3/9/2023,3/26/2023,No
2121,8,Positive,Poor,Fit,Field Work,5/3/2023,5/22/2023,No
2122,1,Positive,Below Average,Fit,Flexible,4/5/2023,4/20/2023,No
2123,2,Neutral,Good,Slight Mismatch,Hybrid,8/23/2023,9/9/2023,No
2124,3,Neutral,Poor,Fit,In-Office,1/18/2023,2/6/2023,No
2125,7,Negative,Good,Fit,In-Office,3/2/2023,3/19/2023,No
2126,3,Negative,Poor,Neutral,Fully Remote,7/13/2023,8/1/2023,No
2127,8,Negative,Poor,Strong Fit,Flexible,4/13/2023,5/4/2023,Yes
2128,8,Neutral,Excellent,Neutral,Fully Remote,5/10/2023,5/30/2023,No
2129,5,Neutral,Poor,Slight Mismatch,Flexible,8/23/2023,9/9/2023,No
2130,8,Neutral,Excellent,Slight Mismatch,Field Work,5/18/2023,6/2/2023,No
2131,7,Neutral,Excellent,Fit,Flexible,5/4/2023,5/22/2023,No
2132,2,Negative,Average,Neutral,In-Office,7/26/2023,8/10/2023,No
2133,2,Neutral,Good,Slight Mismatch,Flexible,3/1/2023,3/20/2023,No
2134,10,Negative,Good,Strong Mismatch,In-Office,8/24/2023,9/15/2023,Yes
2135,1,Negative,Below Average,Strong Mismatch,In-Office,2/16/2023,3/9/2023,No
2136,8,Negative,Poor,Neutral,Flexible,2/8/2023,3/2/2023,Yes
2137,6,Positive,Poor,Slight Mismatch,Flexible,7/6/2023,7/24/2023,No
2138,2,Positive,Poor,Slight Mismatch,Flexible,1/18/2023,2/9/2023,No
2139,8,Positive,Excellent,Strong Mismatch,Fully Remote,5/31/2023,6/21/2023,No
2140,9,Negative,Good,Neutral,Fully Remote,2/9/2023,2/24/2023,No
2141,9,Negative,Excellent,Strong Fit,In-Office,8/31/2023,9/20/2023,No
2142,8,Neutral,Poor,Fit,In-Office,5/3/2023,5/20/2023,No
2143,8,Positive,Excellent,Strong Mismatch,Hybrid,2/22/2023,3/11/2023,No
2144,10,Neutral,Excellent,Neutral,Field Work,3/1/2023,3/18/2023,No
2145,6,Neutral,Average,Fit,Fully Remote,8/16/2023,9/4/2023,No
2146,8,Neutral,Below Average,Strong Mismatch,In-Office,3/2/2023,3/20/2023,No
2147,2,Negative,Average,Slight Mismatch,Flexible,8/23/2023,9/13/2023,No
2148,8,Neutral,Excellent,Strong Mismatch,Flexible,2/1/2023,2/23/2023,No
2149,10,Neutral,Excellent,Strong Mismatch,Field Work,2/8/2023,3/2/2023,No
2150,3,Neutral,Below Average,Slight Mismatch,Fully Remote,3/9/2023,3/25/2023,No
2151,9,Neutral,Below Average,Neutral,Flexible,6/21/2023,7/7/2023,Yes
2152,8,Negative,Excellent,Fit,Flexible,3/22/2023,4/9/2023,No
2153,8,Neutral,Below Average,Slight Mismatch,Hybrid,6/14/2023,7/5/2023,No
2154,1,Positive,Below Average,Strong Mismatch,Field Work,3/30/2023,4/17/2023,No
2155,6,Negative,Average,Strong Fit,Field Work,5/4/2023,5/24/2023,No
2156,1,Positive,Poor,Fit,In-Office,2/8/2023,3/1/2023,No
2157,9,Neutral,Average,Neutral,Hybrid,6/1/2023,6/19/2023,No
2158,1,Negative,Excellent,Strong Fit,Hybrid,6/28/2023,7/18/2023,No
2159,1,Positive,Poor,Strong Fit,In-Office,3/15/2023,4/4/2023,Yes
2160,2,Positive,Excellent,Strong Fit,Fully Remote,6/29/2023,7/19/2023,No
2161,1,Positive,Excellent,Strong Mismatch,Flexible,5/10/2023,5/27/2023,No
2162,5,Negative,Good,Fit,In-Office,4/19/2023,5/7/2023,No
2163,9,Neutral,Average,Neutral,Flexible,4/19/2023,5/5/2023,Yes
2164,2,Neutral,Good,Strong Fit,Fully Remote,6/22/2023,7/14/2023,No
2165,5,Neutral,Average,Strong Fit,Field Work,6/22/2023,7/10/2023,No
2166,3,Neutral,Good,Slight Mismatch,Hybrid,2/23/2023,3/17/2023,No
2167,10,Positive,Average,Fit,Flexible,2/8/2023,3/2/2023,No
2168,5,Negative,Excellent,Strong Mismatch,Hybrid,2/1/2023,2/17/2023,No
2169,7,Neutral,Average,Strong Mismatch,Fully Remote,8/2/2023,8/18/2023,No
2170,10,Negative,Average,Strong Fit,Flexible,1/4/2023,1/22/2023,No
2171,3,Neutral,Poor,Neutral,Fully Remote,3/29/2023,4/16/2023,No
2172,1,Positive,Below Average,Neutral,In-Office,6/22/2023,7/10/2023,No
2173,5,Neutral,Poor,Strong Mismatch,Fully Remote,4/5/2023,4/27/2023,No
2174,9,Positive,Good,Fit,Fully Remote,8/10/2023,8/31/2023,Yes
2175,9,Neutral,Average,Strong Mismatch,Fully Remote,8/2/2023,8/23/2023,No
2176,9,Positive,Below Average,Slight Mismatch,Fully Remote,4/6/2023,4/27/2023,No
2177,1,Negative,Excellent,Neutral,Flexible,5/11/2023,5/26/2023,No
2178,9,Neutral,Good,Slight Mismatch,Field Work,4/27/2023,5/18/2023,No
2179,5,Positive,Good,Neutral,Flexible,4/6/2023,4/26/2023,No
2180,10,Neutral,Poor,Slight Mismatch,Hybrid,1/18/2023,2/2/2023,No
2181,5,Positive,Good,Strong Fit,In-Office,7/19/2023,8/3/2023,No
2182,10,Negative,Below Average,Slight Mismatch,Fully Remote,1/11/2023,1/26/2023,No
2183,6,Negative,Poor,Fit,Flexible,1/18/2023,2/9/2023,No
2184,8,Positive,Poor,Neutral,Fully Remote,4/12/2023,4/29/2023,Yes
2185,9,Neutral,Average,Neutral,Flexible,1/11/2023,2/2/2023,No
2186,8,Positive,Poor,Neutral,Hybrid,6/8/2023,6/24/2023,No
2187,9,Positive,Average,Fit,Fully Remote,8/3/2023,8/23/2023,No
2188,9,Neutral,Below Average,Slight Mismatch,Field Work,2/16/2023,3/4/2023,No
2189,4,Negative,Good,Fit,In-Office,8/23/2023,9/11/2023,No
2190,6,Negative,Excellent,Strong Fit,Flexible,1/5/2023,1/20/2023,No
2191,3,Negative,Excellent,Slight Mismatch,Field Work,6/8/2023,6/25/2023,No
2192,8,Positive,Excellent,Fit,Hybrid,7/20/2023,8/11/2023,No
2193,1,Positive,Excellent,Fit,Hybrid,8/31/2023,9/18/2023,No
2194,5,Positive,Excellent,Neutral,Field Work,2/23/2023,3/14/2023,No
2195,2,Negative,Average,Strong Mismatch,Flexible,1/4/2023,1/22/2023,No
2196,3,Neutral,Poor,Slight Mismatch,Fully Remote,5/3/2023,5/18/2023,No
2197,7,Positive,Average,Strong Mismatch,Hybrid,4/20/2023,5/8/2023,No
2198,9,Positive,Good,Strong Mismatch,Field Work,4/12/2023,5/4/2023,No
2199,4,Positive,Excellent,Strong Mismatch,Fully Remote,7/12/2023,7/27/2023,No
2200,2,Neutral,Excellent,Slight Mismatch,In-Office,3/8/2023,3/30/2023,No
2201,9,Positive,Average,Neutral,Hybrid,7/20/2023,8/7/2023,No
2202,2,Neutral,Average,Neutral,Flexible,2/9/2023,2/27/2023,No
2203,7,Neutral,Average,Strong Mismatch,Field Work,8/24/2023,9/12/2023,No
2204,9,Positive,Good,Strong Fit,Fully Remote,3/15/2023,3/31/2023,No
2205,6,Neutral,Good,Fit,Fully Remote,4/19/2023,5/5/2023,No
2206,5,Positive,Average,Slight Mismatch,Field Work,8/2/2023,8/24/2023,No
2207,2,Neutral,Poor,Neutral,Fully Remote,5/25/2023,6/12/2023,No
2208,5,Positive,Average,Strong Fit,Fully Remote,6/8/2023,6/26/2023,No
2209,3,Negative,Good,Slight Mismatch,Flexible,4/19/2023,5/9/2023,No
2210,2,Positive,Average,Slight Mismatch,Hybrid,6/28/2023,7/19/2023,No
2211,8,Positive,Poor,Slight Mismatch,Field Work,7/13/2023,8/3/2023,Yes
2212,4,Neutral,Average,Fit,Flexible,5/25/2023,6/15/2023,No
2213,1,Neutral,Excellent,Fit,Hybrid,3/8/2023,3/23/2023,No
2214,6,Positive,Below Average,Strong Mismatch,In-Office,6/14/2023,7/1/2023,No
2215,5,Negative,Excellent,Strong Fit,Field Work,3/1/2023,3/18/2023,No
2216,7,Positive,Excellent,Strong Fit,Hybrid,4/27/2023,5/19/2023,No
2217,9,Neutral,Poor,Strong Mismatch,Fully Remote,7/20/2023,8/5/2023,No
2218,4,Negative,Below Average,Fit,Flexible,6/21/2023,7/8/2023,No
2219,2,Neutral,Average,Neutral,Fully Remote,3/2/2023,3/20/2023,No
2220,6,Negative,Average,Fit,Fully Remote,8/23/2023,9/9/2023,No
2221,6,Neutral,Average,Fit,Flexible,7/20/2023,8/8/2023,No
2222,8,Negative,Good,Slight Mismatch,Fully Remote,8/17/2023,9/8/2023,No
2223,5,Positive,Poor,Neutral,Flexible,6/7/2023,6/22/2023,No
2224,2,Negative,Average,Slight Mismatch,Flexible,8/23/2023,9/10/2023,No
2225,7,Negative,Poor,Fit,In-Office,2/23/2023,3/11/2023,No
2226,4,Positive,Excellent,Neutral,In-Office,3/15/2023,4/4/2023,No
2227,10,Negative,Poor,Fit,In-Office,5/25/2023,6/14/2023,No
2228,3,Negative,Excellent,Strong Fit,Hybrid,6/8/2023,6/26/2023,No
2229,3,Neutral,Below Average,Fit,Flexible,5/3/2023,5/22/2023,No
2230,8,Neutral,Below Average,Strong Mismatch,In-Office,5/4/2023,5/22/2023,Yes
2231,1,Positive,Good,Neutral,Field Work,8/16/2023,9/6/2023,No
